df01,df02,df03,df04,df05,df06,df07,df08,df09,df10,i1,i2,i3,i4,i5,i6,i7
0.0394786872636356,0.0998472482896787,0.0418367646702877,0.00853248168021387,0.0181979008491297,0.00999896720902267,0.0136197808414519,0.00765096249009975,0.0128273699465897,0.00539114007580512,0.17458602184381,0.00395716642103015,0.000179840567741053,5.19137939582966e-06,1.5694411242784e-10,3.23342551644073e-07,2.30220193901384e-11
0.0348153263870073,0.0919152666423974,0.035238179303457,0.00430258328053749,0.0168738329720587,0.00718718409143792,0.017011973157856,0.0102996890007074,0.0161421289471757,0.00778164867447554,0.173128579126413,0.00353151708118124,0.000170189063094787,3.64879917775089e-06,9.05638351314444e-11,2.16303403648378e-07,8.11364698108214e-12
0.0897353148841521,0.0891221858326939,0.0447601731743024,0.0126239501556922,0.0187232193071364,0.0138966897457036,0.0161408641292401,0.0122918598720681,0.0117818975670858,0.00610260525999734,0.175668987472668,0.00380821825555703,0.000206174901325595,6.4482511455192e-06,2.21760151686679e-10,-1.8975109031835e-07,7.8112864438428e-11
0.0301980173952978,0.0896621256932706,0.0327143096980864,0.00645340402020074,0.0176913709213338,0.00796440406287272,0.0162422149555755,0.00939140832879935,0.0153227657320048,0.00834978928561202,0.172231202591873,0.0031899823850709,0.000192662157205663,3.44306091422611e-06,8.8603744848598e-11,1.94238661562403e-07,-3.6251338864509e-12
0.095329179833316,0.0591003273430733,0.0280560961247703,0.0241911996290412,0.0172551565444628,0.00656014155971905,0.0151399498094882,0.0119697978483196,0.0120512767130743,0.0134654977416134,0.185827725138522,0.000904234719476005,0.000810689429786687,0.000737454426257247,5.15973113113123e-07,-1.78696214217607e-05,2.42701487836404e-07
0.189544746394229,0.0754666284041531,0.0476839413939016,0.0211958338805421,0.00966519946828007,0.0113413444905746,0.0174433831105022,0.0148270265806673,0.0178900520889166,0.0104702214017544,0.203556571985333,0.00197816566152734,0.0043548593763535,0.00172886102486478,4.67974870738661e-06,-3.63728964738754e-07,7.76965723791416e-07
0.160489739682379,0.0793315261828913,0.103978240002166,0.0492150228208201,0.0515359065876828,0.0448383581277866,0.0286925321619314,0.0263169418922235,0.0203626617832635,0.00529771642490827,0.214244581820338,0.00281025844957911,0.00532084984404375,0.0017808546629602,5.4180766540063e-06,5.18648588530889e-05,8.34245103123676e-07
0.251496326054561,0.0336951403894123,0.0524273986661229,0.021063650676213,0.0166031946642865,0.0155354379617879,0.0148961631262637,0.0167518598912735,0.0183820323115623,0.0139270118243142,0.223789582703114,0.00286917947820152,0.00733845737569542,0.00607526477929937,4.04568740069907e-05,0.000241456587614609,2.95819174313777e-06
0.0754612081129995,0.0548934235750599,0.0801528187578399,0.0562985031866981,0.0461726492997413,0.0488017949239942,0.0369041531642598,0.033043596264398,0.025629070301341,0.00575339578723068,0.183907942671838,0.00138438677910726,0.000669540144086358,0.000101269648783276,8.16544472281811e-09,-3.73309227071369e-06,2.50737560610307e-08
0.0750240037051293,0.105737113590181,0.0565797696485336,0.0238518202719202,0.0309233057644697,0.0230846752251882,0.0223732027226609,0.0274367205195303,0.0247551649445758,0.0217604744941926,0.182292180651911,0.00460875559386944,0.000380608190778091,2.03834887246559e-05,1.50757065532555e-09,-3.29462292373002e-07,9.75000957421474e-10
